IP,Port,Position,Speed,LiveTime,LastTestTime
104.129.192.179,10605,美国 加利福尼亚州 Alameda,"ZSCALER, INC.",0.864秒,13小时50分钟
165.225.80.236,10605,英国 伦敦 伦敦,0.944秒,8小时45分钟,2020-07-27 15:46:36
61.135.185.69,80,中国 北京 北京,联通,11毫秒,93天16小时
165.225.10.97,10605,美国 加利福尼亚 ,0.694秒,6小时9分钟,2020-07-27 15:46:35
165.225.200.107,10605,德国 法兰克福 法兰克福,0.824秒,12小时1分钟,2020-07-27 15:46:35
165.225.8.95,10605,美国 加利福尼亚 ,0.784秒,15小时46分钟,2020-07-27 15:46:34
180.149.145.139,80,中国 北京市 北京,"IDC, China Telecommu",23毫秒,92天22小时
165.225.66.49,10605,俄罗斯 莫斯科 莫斯科,2.264秒,12小时42分钟,2020-07-27 15:46:33
180.97.33.249,80,中国 江苏省 南京市,电信,63毫秒,89天4小时
165.225.76.70,10605,法国 普罗旺斯-阿尔卑斯-蓝色海岸 塔拉斯孔,Zscaler Switzerland ,3.254秒,8小时5分钟
165.225.194.77,10605,丹麦 Capital Region Ballerup Municipality,Zscaler Switzerland ,0.874秒,8小时45分钟
165.225.92.125,10605,西班牙 Madrid 马德里,Zscaler Switzerland ,0.764秒,11小时41分钟
93.188.167.189,3128,美国 北卡罗来纳 XX,XX,3.044秒,14小时25分钟
165.225.76.182,10605,法国 巴黎 ,0.904秒,12小时22分钟,2020-07-27 15:46:24
165.225.206.106,10605,波兰 华沙 ,1.854秒,11小时41分钟,2020-07-27 15:46:24
165.225.206.78,10605,波兰 Mazovia 华沙,Zscaler Switzerland ,0.914秒,12小时42分钟
165.225.10.116,10605,美国 Colorado 丹佛,"ZSCALER, INC.",0.674秒,1天7小时
165.225.80.237,10605,英国 英格兰 伦敦,Zscaler Switzerland ,0.634秒,11小时7分钟
165.225.8.81,10605,波兰 Mazovia 华沙,"ZSCALER, INC.",2.254秒,13小时49分钟
165.225.116.81,10605,中国 香港 ,2.814秒,12小时15分钟,2020-07-27 15:46:20
165.225.124.86,10605,印度 National Capital Territory of Delhi 新德里,"ZSCALER, INC.",1.064秒,11小时7分钟
165.225.210.94,10605,加拿大 艾伯塔 卡尔加里,"ZSCALER, INC.",0.574秒,1天6小时
165.225.94.115,10605,瑞士 Zurich Zurich,Zscaler Switzerland ,0.894秒,12小时1分钟
103.235.46.121,80,香港 Central and Western District Central,Beijing Baidu Netcom,0.584秒,22天5小时
180.149.144.224,80,中国 北京市 北京,"IDC, China Telecommu",14毫秒,90天19小时
180.149.144.224,80,中国 北京市 北京,"IDC, China Telecommu",14毫秒,90天19小时
165.225.222.91,10605,美国 佛罗里达 迈阿密,0.884秒,10小时48分钟,2020-07-27 15:46:17
165.225.86.61,10605,意大利 米兰 米兰,0.924秒,45分钟10秒,2020-07-27 15:46:17
165.225.200.86,10605,德国 法兰克福 法兰克福,0.874秒,12小时15分钟,2020-07-27 15:46:17
165.225.80.66,10605,英国 伦敦 伦敦,0.624秒,10小时37分钟,2020-07-27 15:46:16
165.225.216.122,10605,美国 德克萨斯州 Dallas,"ZSCALER, INC.",0.764秒,18小时0分钟
165.225.50.59,10605,美国 华盛顿 西雅图,0.834秒,12小时8分钟,2020-07-27 15:46:16
165.225.226.76,10605,澳大利亚 Victoria Port Melbourne,"ZSCALER, INC.",1.314秒,12小时38分钟
165.225.202.116,10605,意大利 米兰 米兰,0.934秒,12小时41分钟,2020-07-27 15:46:15
165.225.210.102,10605,加拿大 不列颠哥伦比亚 温哥华,0.694秒,1天3小时,2020-07-27 15:46:15
165.225.192.106,10605,荷兰 阿姆斯特丹 阿姆斯特丹,0.814秒,1天7小时,2020-07-27 15:46:14
165.225.76.69,10605,法国 巴黎 ,2.934秒,12小时22分钟,2020-07-27 15:46:14
35.235.95.68,80,美国 加利福尼亚 山景,谷歌,0.594秒,1天17小时
117.185.17.144,80,中国 广东 东莞市,China Mobile communi,71毫秒,90天16小时
165.225.196.77,10605,英国 英格兰 曼彻斯特,Zscaler Switzerland ,1.314秒,12小时8分钟
180.97.33.93,80,中国 江苏省 南京市,电信,55毫秒,91天4小时
165.225.206.82,10605,波兰 Mazovia 华沙,Zscaler Switzerland ,3.064秒,10小时49分钟
210.14.77.174,1080,中国 上海 上海市,科技网,0.624秒,1天21小时
165.225.192.89,10605,荷兰 阿姆斯特丹 阿姆斯特丹,0.784秒,8小时6分钟,2020-07-27 15:46:10
180.97.104.170,80,中国 江苏省 Qinnan,China Telecom,59毫秒,93天20小时
182.61.62.23,80,中国 北京市 北京,Beijing Baidu Netcom,142毫秒,92天20小时
165.225.210.85,10605,加拿大 艾伯塔 卡尔加里,"ZSCALER, INC.",0.574秒,10小时1分钟
180.97.33.212,80,中国 江苏省 南京市,电信,52毫秒,87天14小时
117.185.16.31,80,中国 广东 东莞市,China Mobile communi,125毫秒,90天8小时
183.232.231.133,80,中国 广东省 广州市,移动,89毫秒,45天2小时
117.185.16.31,80,中国 广东 东莞市,China Mobile communi,125毫秒,90天8小时
183.232.231.239,80,中国 广东 广州,移动,89毫秒,49天2小时
183.232.231.133,80,中国 广东省 广州市,移动,89毫秒,45天2小时
104.129.192.49,10605,美国 加利福尼亚 圣克拉拉,0.774秒,10小时47分钟,2020-07-27 15:46:07
117.185.16.226,80,中国 广东 东莞市,China Mobile communi,79毫秒,90天7小时
180.149.144.199,80,中国 北京 北京市,电信,17毫秒,93天19小时
59.110.153.189,80,中国 浙江省 西湖,Hangzhou Alibaba Adv,21毫秒,3天21小时
165.225.112.81,10605,新加坡 Queenstown Estate,"ZSCALER, INC.",1.454秒,10小时13分钟
165.225.194.16,10605,德国 法兰克福 法兰克福,0.854秒,2小时14分钟,2020-07-27 15:46:07
61.135.185.12,80,中国 北京 北京,联通,16毫秒,93天16小时
61.135.185.78,80,中国 北京 北京市,联通,26毫秒,92天17小时
165.225.194.74,10605,德国 法兰克福 法兰克福,2.854秒,1小时32分钟,2020-07-27 15:46:06
61.135.186.243,80,中国 北京 北京,联通,27毫秒,86天6小时
180.149.144.108,80,中国 北京市 北京,"IDC, China Telecommu",52毫秒,90天16小时
47.112.221.156,3128,中国 浙江省 西湖,Addresses CNNIC,100毫秒,7小时16分钟
